partner_group,etr_2024w,etr_actualw,imports_2024_B,imports_actual_B,import_change_pct,gap_pp
ROW,0.20713317864177674,0.20917867396403886,1347.162218755,135.805016417,20.96985606604043,-0.20454953222621142
Mexico,0.20121171321156536,0.1983154003386266,500.629428142,41.915709398,0.47122372385406397,0.2896312872938761
China,0.4157173159609732,0.4088117997611892,424.289855356,18.807173018,-46.80851465877301,0.6905516199784023
Canada,0.20337942008235368,0.20204916401790465,408.955723913,31.568615183,-7.368118345107277,0.13302560644490313
Japan,0.15094737439570532,0.1507643270273794,149.607055652,13.865981825,11.21920766026092,0.018304736832591706
S. Korea,0.1471131089207183,0.14748803896054477,122.99036471,10.634069253,3.755144833410262,-0.0374930039826471
UK,0.12126468458061694,0.12114552644418701,59.147480168,4.946097179,0.3477510443653298,0.0119158136429931
EU,0.1508961238168159,0.15061025548447785,39.082056179,3.526708704,8.286279140912045,0.02858683323380684
