partner_group,n_flows,n_suspect,n_suspect_strict,val_total,val_suspect,val_suspect_strict,share_suspect_value,share_suspect_strict_value,mean_dln_value,mean_dln_qty,mean_dln_uv,mean_world_dln_uv
Canada,1442,73,6,8678672505,541403264.6666666,2641222.6666666665,0.062383188714028634,3.0433486977933456e-4,-0.004776262939392611,0.050644016952977426,-0.05542027989236952,0.6559266491285508
China,6623,485,65,20490520618,2251981510.5,331318717.5,0.10990357699948998,0.016169365516703924,-0.20493099217865557,-0.10619020764316306,-0.09874078453549248,-0.1159014387483521
EU,17530,659,98,26941635269.166668,1604437768.8333333,417968357.1666667,0.05955235281020713,0.015513845131925242,0.09413213283923937,0.08859643537362763,0.005535697465611835,-0.023566848054832813
Japan,2497,130,11,9944707861.5,301739013.5,18017049.333333332,0.030341666914938163,0.0018117223335523652,0.04097191679080038,0.04821877311506978,-0.007246856324269631,-0.09132012032497308
Mexico,1371,70,0,19084569274,434935180.6666667,0,0.022789887181745502,0,0.08686689641522638,0.16469383226601947,-0.07782693585079274,0.06607461175417391
ROW,23836,1058,271,45839608954.666664,2648197855,461634305.1666667,0.05777095213920673,0.010070642304632277,0.20676333225880297,0.23139735050950183,-0.024634018250698875,0.007910712763700397
S. Korea,2128,110,20,7232517509.666667,229795546.1666667,26743185.5,0.03177255303696562,0.003697631628856235,-0.01094446846349415,0.07560886850856949,-0.08655333697206327,-0.028541218748132022
UK,1891,94,12,3400927435.3333335,325772674.3333333,15262467,0.0957893634979611,0.004487736739523843,0.031822295421378884,0.13155440143978753,-0.09973210601840918,-0.08648318288592788
