product_group,partner_group,stat_num,cens_num,total_val,s2,s4,gap_pp
Apparel & Textiles,China,15563402435.078373,12241875893,34373404649,45.27745387459356,35.614382741559886,9.663071133033675
Apparel & Textiles,Canada,42124048.1870695,40752677,1854828355,2.2710483195664484,2.197113112388235,0.07393520717821334
Apparel & Textiles,Mexico,262146896.8309484,194121776,7834334835,3.3461283229790424,2.4778335377339027,0.8682947852451397
Apparel & Textiles,EU,1940898949.7316132,1693487294,12000473882,16.173519219460548,14.111836837877966,2.0616823815825818
Apparel & Textiles,Japan,108215033.25720374,102141912,809296942,13.371486736348468,12.621067336246034,0.7504194001024338
Apparel & Textiles,S. Korea,155916152.33696178,154546530,1502525617,10.376938041713386,10.285783367113135,0.09115467460025073
Apparel & Textiles,UK,102326740.2066047,97856459,687282258,14.888604938584738,14.238176216677486,0.650428721907252
Apparel & Textiles,ROW,28333010372.892372,26156185642,114505828871,24.743727592078983,22.842667399462293,1.90106019261669
Autos & Auto Parts,China,9041097799.155708,7474932040,14552563395,62.127183739065984,51.36505395721728,10.762129781848707
Autos & Auto Parts,Canada,4912257853.367841,3851846170,54578004311,9.0004350935525,7.057506441699764,1.9429286518527364
Autos & Auto Parts,Mexico,14776021989.71102,12820986943,150419545459,9.82320611634778,8.523484699995073,1.2997214163527069
Autos & Auto Parts,EU,8900688211.215015,8534698488,57662228351,15.435907466209908,14.80119435559758,0.6347131106123278
Autos & Auto Parts,Japan,9019861279.428274,8986736589,56999349088,15.824498742086886,15.766384586472352,0.05811415561453437
Autos & Auto Parts,S. Korea,7495827514.067322,7025657345,46151187825,16.24189510027486,15.223134389607662,1.0187607106671983
Autos & Auto Parts,UK,1105769108.7767415,1085365213,10426777164,10.605090061716998,10.40940259802794,0.1956874636890582
Autos & Auto Parts,ROW,3813544288.3515058,2877872424,17573362557,21.700709104373743,16.376333297998546,5.324375806375198
Chemicals & Plastics,China,13829616969.589375,10870735901,36059171477,38.35256441876504,30.14693753552767,8.205626883237372
Chemicals & Plastics,Canada,290296344.6927928,243882550,40056881627,0.7247102942160155,0.6088405789321679,0.1158697152838476
Chemicals & Plastics,Mexico,347288391.48246795,273085387,23854238762,1.4558770663254248,1.14480864270977,0.3110684236156549
Chemicals & Plastics,EU,5019640151.023421,4695087643,118732338669,4.2276941625963325,3.9543461331869203,0.27334802940941216
