year_month,partner_group,stat_num,cens_num,total_val,s2,s4,gap_pp,gap_usd,gap_contrib_pp
2025-01,China,4769942805.263546,4542288963,41156127256,11.589872816733877,11.036725916279687,0.5531469004541893,227653842.263546,0.07088613802809085
2025-01,Canada,24422746.706924886,43141807,38377304228,0.06363851551903978,0.11241489694975455,-0.04877638143071478,-18719060.293075114,-0.005828682171570606
2025-01,Mexico,85290129.28009298,117417682,42282240045,0.2017162032790143,0.27769976679342223,-0.07598356351440794,-32127552.719907016,-0.010003776408797176
2025-01,EU,558492317.2377195,551761423,55505040121,1.006201087361105,0.9940744512519402,0.012126636109164757,6730894.237719536,0.002095844696682593
2025-01,Japan,190447992.04061604,191554320,13029448424,1.4616734787469161,1.4701644595112755,-0.00849098076435939,-1106327.9593839645,-3.444849234850172e-4
2025-01,S. Korea,28488299.59572138,26660450,10906891719,0.26119540130846125,0.24443673492748644,0.016758666380974813,1827849.595721379,5.691500633092699e-4
2025-01,UK,52641494.02461992,48438812,6234959068,0.8442957435726333,0.7768906174317166,0.06740512614091665,4202682.024619922,0.001308617922382804
2025-01,ROW,1791271272.7318003,1566508331,113662235366,1.575959919285229,1.3782135517181573,0.19774636756707165,224762941.73180032,0.06998597850483725
2025-02,China,6887000060.246076,4406458810,34086521410,20.204467265543936,12.927276318396258,7.277190947147679,2480541250.2460756,0.848465758818302
2025-02,Canada,20562126.26344572,37850419,34970965488,0.058797708260303665,0.10823384047829065,-0.04943613221798699,-17288292.73655428,-0.00591343700248416
2025-02,Mexico,86558367.29698566,112359245,41562849300,0.20825898309379298,0.2703357611240575,-0.06207677803026451,-25800877.703014344,-0.008825155105279793
2025-02,EU,563927563.6659192,542672184,53693960699,1.050262555275461,1.0106763906692149,0.03958616460624609,21255379.665919185,0.0072703736877692176
2025-02,Japan,161586742.7545138,163704438,11297241091,1.4303203893138354,1.4490656318772899,-0.018745242563454445,-2117695.2454862,-7.243547766960589e-4
2025-02,S. Korea,34216874.5925083,33891850,9344429296,0.3661740434716036,0.3626957722769419,0.0034782711946617084,325024.59250830114,1.111742195336634e-4
2025-02,UK,52256707.00185526,55341447,5569317517,0.9382964221800044,0.9936845373077334,-0.05538811512772901,-3084739.9981447384,-0.0010551311182684024
2025-02,ROW,1598832226.729118,1405141439,101830797276,1.5700871146041189,1.379878658115123,0.19020845648899587,193690787.7291181,0.0662516703442839
2025-03,China,8829014259.495396,7353900908,27949888654,31.58872784357889,26.311020408832857,5.277707434746034,1475113351.4953957,0.4333446784637361
2025-03,Canada,855713156.2814202,660003129,35705166370,2.3966087916072643,1.8484807553075688,0.5481280362996954,195710027.28142023,0.05749381819262911
2025-03,Mexico,1329875138.929955,1805569577,47408494643,2.80514103842425,3.808535981993256,-1.0033949435690062,-475694438.070045,-0.1397449579745701
2025-03,EU,921579974.5264919,865396556,81919121241,1.1249876226275326,1.0564036123557372,0.06858401027179539,56183418.52649188,0.01650502682500609
2025-03,Japan,250094803.6056526,252341262,13877458078,1.8021658015463875,1.8183536248618744,-0.01618782331548685,-2246458.3943473995,-6.599430407119283e-4
2025-03,S. Korea,116875479.35905999,50859981,12348323767,0.9464886211633131,0.4118776115663537,0.5346110095969594,66015498.35905999,0.01939340111119552
2025-03,UK,77135447.34585187,87668834,7112610460,1.0844885682921523,1.2325830929872126,-0.14809452469506024,-10533386.654148132,-0.0030943974903004457
2025-03,ROW,2270783934.532854,1914658245,114080798124,1.9905049507671115,1.6783352470227848,0.31216970374432673,356125689.5328541,0.10461919571593864
2025-04,China,25996066683.893303,9509459402,24625309774,105.5664554983206,38.616608234672114,66.94984726364848,16486607281.893303,6.044656925749662
2025-04,Canada,1093628432.2105343,674504025,29520331842,3.704661716080632,2.2848795488143887,1.4197821672662432,419124407.21053433,0.15366795651026982
2025-04,Mexico,1932499505.546594,1716756179,41756730566,4.627995246160657,4.111328055932261,0.5166671902283957,215743326.5465939,0.07910022788171726
2025-04,EU,3716650407.3126984,2071707798,52754419459,7.045192507902068,3.927079132412977,3.118113375489091,1644942609.3126984,0.6031024798390701
2025-04,Japan,1699382004.7395053,1270234732,13690571363,12.412790961612004,9.278171803938903,3.1346191576731,429147272.7395053,0.15734274432438183
2025-04,S. Korea,914547552.3603208,543488445,9568604222,9.557794753989365,5.679913521247112,3.8778812327422525,371059107.3603208,0.13604527388915127
2025-04,UK,429710177.12328863,304479583,4905454794,8.759843789588668,6.206959309306398,2.5528844802822706,125230594.12328863,0.04591459996226411
2025-04,ROW,6567467494.437848,3195014446,95925360542,6.846435037960942,3.33072967143146,3.5157053665294824,3372453048.437848,1.2364776650192864
2025-05,China,14199923598.806778,9342341956,19364376809,73.33013470491375,48.24499155406824,25.085143150845504,4857581642.806778,1.7767044847548263
2025-05,Canada,1115930623.890288,567296128,30210371783,3.6938659077285676,1.8778190883411414,1.8160468193874262,548634495.8902881,0.2006680362815781
2025-05,Mexico,2219493011.999756,2009739824,46370409450,4.7864425574955884,4.3340998016570245,0.452342755838564,209753187.99975586,0.07671912840881351
2025-05,EU,4415992306.649022,3798971885,56559409358,7.807705838470545,6.7167813952121085,1.0909244432584364,617020421.6490221,0.22568080805239857
2025-05,Japan,1796563807.2797325,1686920214,11963336319,15.017247357883399,14.100750568391673,0.9164967894917257,109643593.27973247,0.040103137369436825
2025-05,S. Korea,1502424960.1748657,1388909612,11330149125,13.2604164658324,12.258528962653878,1.001887503178521,113515348.17486572,0.0415192667918298
2025-05,UK,380213453.6645329,326615643,4753400795,7.998766989404118,6.871199317834926,1.1275676715691914,53597810.6645329,0.019603884727646473
2025-05,ROW,6995356733.739071,5062941177,92852575252,7.533831683993486,5.452666405061228,2.081165278932258,1932415556.739071,0.7067984932692712
2025-06,China,7610397785.8358,7078417661,17567979660,43.31970968274562,40.291586158405195,3.0281235243404225,531980124.8358002,0.20593825992392284
2025-06,Canada,1293593648.2610312,709060810,29736629802,4.350168989809423,2.384469305100306,1.9656996847091168,584532838.2610312,0.2262822800325935
2025-06,Mexico,2321298313.427841,1790239957,44868727672,5.173532733972375,3.989950350469122,1.183582383503253,531058356.4278412,0.20558142820573316
2025-06,EU,4344157845.303923,3829607217,44025004147,9.867478560135348,8.698709497477608,1.1687690626577396,514550628.30392265,0.19919101501842415
2025-06,Japan,1838580691.9766228,1826785112,11499825541,15.987900733116197,15.885328916399777,0.10257181671642002,11795579.97662282,0.0045662631022708785
2025-06,S. Korea,1483840832.7931597,1366841472,11002811694,13.486014975629553,12.422656226547614,1.0633587490819387,116999360.79315972,0.04529237775826973
2025-06,UK,458048747.75427926,409728591,5159953600,8.876993540296162,7.9405479731445645,0.9364455671515977,48320156.754279256,0.018705527775683163
2025-06,ROW,7745620497.205213,6610605503,94459267847,8.199958218764884,6.998366230942526,1.2015919878223578,1135014994.2052126,0.43938298064486797
2025-07,China,10928872231.723743,10137619142,25117812474,43.51044599539255,40.36027879614784,3.150167199244713,791253089.7237434,0.27459428461648755
2025-07,Canada,1421518933.0775447,962622941,32102541358,4.4280573217711945,2.9985879630682666,1.429469358702928,458895992.0775447,0.15925399634382684
2025-07,Mexico,2347640937.635039,2138045190,45115688463,5.203602156177604,4.739028180304597,0.464573975873007,209595747.63503885,0.07273752877299419
2025-07,EU,4700785397.802908,4178894960,46042560108,10.209652518835798,9.076156821422941,1.1334956974128563,521890437.80290794,0.18111541462253158
2025-07,Japan,1874465242.5751004,1808679654,12259215951,15.290253879753198,14.753632379340406,0.5366215004127923,65785588.57510042,0.02283004877637979
2025-07,S. Korea,1563302821.579456,1400839358,10732066180,14.566652826766822,13.052839355487464,1.5138134712793576,162463463.5794561,0.05638087122477223
2025-07,UK,400653107.21828365,323857891,5631277912,7.114781289066021,5.751055019143584,1.363726269922437,76795216.21828365,0.026650799514464505
2025-07,ROW,8199675880.444703,7134481197,111152354962,7.376970000543805,6.418650508519669,0.9583194920241365,1065194683.4447031,0.3696622179129888
2025-08,China,10050133957.200602,9232925561,23243315122,43.23881470628974,39.722928990714216,3.5158857155755214,817208396.2006016,0.3162138201412089
2025-08,Canada,1459862430.2340636,1129017385,29372247059,4.970210237240752,3.843823670460568,1.1263865667801842,330845045.2340636,0.12801847865813365
2025-08,Mexico,2467753025.346569,2113064529,44962995169,5.488408892848793,4.6995635434377485,0.7888453494110443,354688496.34656906,0.13724455709380445
2025-08,EU,4750427544.312899,3820866440,40652883314,11.685339776814677,9.398758780497554,2.2865809963171237,929561104.3128986,0.35968801742133405
2025-08,Japan,2029729805.593551,1916292032,11328756567,17.916615946237506,16.91529004676511,1.0013258994723948,113437773.59355092,0.04389405677071026
2025-08,S. Korea,1606376692.9358115,1331112769,9970836666,16.110751251331465,13.350060918548797,2.7606903327826675,275263923.9358115,0.1065117017146208
2025-08,UK,418202914.0010271,308254143,5195709377,8.0490051243493,5.932859608440721,2.1161455159085794,109948771.0010271,0.04254400843127334
2025-08,ROW,11347169226.254065,7418547993,93708639416,12.108989413324709,7.916610505960822,4.192378907363887,3928621233.2540646,1.5201560995100072
2025-09,China,9194927009.985859,8697821839,23296813590,39.468603611666104,37.33481321554413,2.1337903961219737,497105170.9858589,0.17925940146634642
2025-09,Canada,1643070356.5458233,1246352243,31926861438,5.146357275789745,3.9037731454447515,1.2425841303449934,396718113.54582334,0.14305916682388597
2025-09,Mexico,2517890291.6829176,2090340700,44283245248,5.685875724739562,4.720387334517693,0.9654883902218687,427549591.6829176,0.1541772010745003
2025-09,EU,4873737166.868115,3991350474,57094714794,8.536231741331493,6.990752976700122,1.5454787646313708,882386692.8681154,0.3181944579488328
2025-09,Japan,1626594388.3645375,1694788300,10241217916,15.882821766962754,16.548698737795707,-0.6658769708329526,-68193911.63546252,-0.02459117405513707
2025-09,S. Korea,1590429219.5848978,1500225177,9669938383,16.447149470785803,15.51431992201144,0.9328295487743627,90204042.58489776,0.03252817236148522
2025-09,UK,411454758.50487554,292077346,5189687562,7.928314635309361,5.628033335545143,2.300281299764218,119377412.50487554,0.043048281859119665
2025-09,ROW,12781740881.69823,10027338268,95608036958,13.368897938269738,10.487965852080977,2.8809320861887606,2754402613.6982307,0.9932557389207499
2025-10,China,9357189757.294264,8828319429,23411302991,39.96868419024539,37.709645774068484,2.2590384161769066,528870328.29426384,0.19212610060656685
2025-10,Canada,1596169515.199037,1209946952,31123754701,5.128460658211499,3.8875353042193352,1.2409253539921639,386222563.1990371,0.14030553627961803
2025-10,Mexico,2787898714.7297606,2221536580,48499746672,5.748274797359462,4.580511719007686,1.1677630783517765,566362134.7297606,0.20574598848793113
