year_month,partner_group,s1,s2,s3,s4,gap_diversion,gap_others,gap_residual
2025-01,China,11.977374132293308,11.589872816733877,11.56763651597414,11.036725916279687,0.38750131555943135,0.022236300759736594,0.5309105996944528
2025-01,Canada,0.07980293692089403,0.06363851551903978,0.06134936461707558,0.11241489694975457,0.016164421401854256,0.0022891509019641945,-0.051065532332678985
2025-01,Mexico,0.2279283532828378,0.2017162032790143,0.19610220415595842,0.2776997667934223,0.026212150003823514,0.0056139991230558794,-0.08159756263746387
2025-01,EU,1.3270192114237156,1.006201087361105,0.9863719861329288,0.9940744512519402,0.3208181240626107,0.01982910122817616,-0.0077024651190114035
2025-01,Japan,1.5472098647980892,1.4616734787469161,1.3845823419647736,1.4701644595112755,0.08553638605117309,0.07709113678214252,-0.08558211754650191
2025-01,S. Korea,0.31589046611502347,0.26119540130846125,0.0428160487903405,0.24443673492748644,0.05469506480656222,0.21837935251812074,-0.20162068613714595
2025-01,UK,1.0538035201324294,0.8442957435726333,0.817587961095195,0.7768906174317165,0.20950777655979613,0.026707782477438213,0.04069734366347855
2025-01,ROW,2.2898089326378437,1.575959919285229,1.4959646891764278,1.3782135517181573,0.7138490133526147,0.07999523010880116,0.11775113745827048
2025-02,China,20.89233036713391,20.204467265543936,20.16645153842414,12.927276318396258,0.6878631015899721,0.03801572711979517,7.239175220027883
2025-02,Canada,0.07760776661348613,0.058797708260303665,0.05646392215480493,0.10823384047829065,0.018810058353182467,0.002333786105498732,-0.05176991832348572
2025-02,Mexico,0.22459454249363509,0.20825898309379298,0.20298061362358902,0.2703357611240575,0.016335559399842103,0.005278369470203964,-0.06735514750046848
2025-02,EU,1.3241718583899347,1.050262555275461,1.0290914135725142,1.0106763906692149,0.2739093031144737,0.02117114170294676,0.018415022903299327
2025-02,Japan,1.5440192782553355,1.4303203893138354,1.3442070497354488,1.44906563187729,0.11369888894150004,0.08611333957838663,-0.1048585821418413
2025-02,S. Korea,0.3008799692248742,0.3661740434716036,0.16091588144085167,0.36269577227694183,-0.0652940742467294,0.20525816203075192,-0.20177989083609016
2025-02,UK,1.0411782687261348,0.9382964221800044,0.9094919912036955,0.9936845373077334,0.10288184654613042,0.028804430976308915,-0.08419254610403792
2025-02,ROW,2.2859053406314866,1.5700871146041189,1.4928791174909735,1.379878658115123,0.7158182260273678,0.07720799711314541,0.11300045937585046
2025-03,China,31.59678097772248,31.58872784357889,31.540406328392343,26.31102040883286,0.008053134143590768,0.04832151518654726,5.229385919559483
2025-03,Canada,2.349436730483951,2.3966087916072643,2.3897361452128845,1.8484807553075686,-0.04717206112331329,0.006872646394379789,0.5412553899053159
2025-03,Mexico,3.1060280154832762,2.80514103842425,2.7962627451616022,3.8085359819932556,0.30088697705902634,0.008878293262647663,-1.0122732368316534
2025-03,EU,1.7390276909374711,1.1249876226275326,1.1046927317595234,1.0564036123557372,0.6140400683099385,0.020294890868009174,0.04828911940378622
2025-03,Japan,1.8719620042378957,1.8021658015463875,1.7180325997218522,1.8183536248618744,0.06979620269150821,0.08413320182453532,-0.10032102514002217
2025-03,S. Korea,1.06269371843132,0.9464886211633131,0.7055043890673371,0.4118776115663537,0.11620509726800698,0.24098423209597597,0.2936267775009834
2025-03,UK,1.3562867161148753,1.0844885682921523,1.0573343945264506,1.2325830929872124,0.27179814782272294,0.027154173765701728,-0.17524869846076174
2025-03,ROW,2.6536138426063256,1.9905049507671115,1.899752124315835,1.678335247022785,0.6631088918392141,0.09075282645127647,0.22141687729305004
2025-04,China,97.31114940608913,105.5664554983206,105.20707185482723,38.61660823467211,-8.255306092231464,0.3593836434933593,66.59046362015513
2025-04,Canada,4.073686863406445,3.704661716080632,3.693482546352805,2.284879548814389,0.3690251473258135,0.011179169727826732,1.408602997538416
2025-04,Mexico,5.526975446734788,4.627995246160657,4.620879084022265,4.111328055932261,0.8989802005741314,0.007116162138391502,0.5095510280900042
2025-04,EU,8.691299701969452,7.045192507902068,6.5914579458948674,3.927079132412977,1.6461071940673841,0.45373456200720064,2.6643788134818904
2025-04,Japan,13.370592726540508,12.412790961612004,11.835571562125663,9.278171803938903,0.9578017649285044,0.5772193994863404,2.55739975818676
2025-04,S. Korea,11.70760491378998,9.557794753989365,7.795733974682966,5.679913521247112,2.149810159800616,1.762060779306399,2.1158204534358536
