product_group,n_flows,n_suspect,n_suspect_strict,val_total,val_suspect,val_suspect_strict,share_suspect_value,share_suspect_strict_value,mean_dln_value,mean_dln_qty,mean_dln_uv,mean_world_dln_uv
Apparel & Textiles,7567,323,50,10999585537.833334,380108685.6666667,61833458.333333336,0.0345566370986683,0.005621435291416726,0.17633848177244116,0.20779804804567192,-0.03145956627323078,-0.10647946608955426
Autos & Auto Parts,1736,100,12,24650440700,1294725854.5,9685033.5,0.05252343640655479,3.928949432534892e-4,-0.09117871194184447,-0.00188758623775722,-0.08929112570408702,-0.029889807568552522
Chemicals & Plastics,7081,352,117,11407643961.166666,901753266,441274016,0.07904816008193309,0.03868230964274157,0.03525041089521681,0.054210819770037805,-0.01896040887482092,-0.018487520281466305
Electronics & Machinery,16565,721,85,42940120752.833336,2453284284.6666665,156077355.66666666,0.05713268248098232,0.0036347675071772625,0.07867966879801837,0.11554532396699159,-0.03686565516897321,-0.06202108799266916
Energy & Minerals,168,6,4,1619957444.1666667,10532233.5,8936372,0.006501549493121381,0.005516423923467335,-0.27774793765678507,-0.06762966288588072,-0.21011827477090264,0.7197861319977726
Food & Agriculture,5524,254,84,10672606151.333334,653591150.5,196577336.66666666,0.061240070253913245,0.018418869194578885,0.10805515322995041,0.12943783902671624,-0.02138268579676581,0.03311052172905354
Other Manufactured,13951,666,127,30075006925.5,1863283339.3333333,398430854.8333333,0.061954543982282256,0.013247905671985456,0.19940409329508457,0.23786463767341623,-0.03846054437833149,0.024551301795690986
Pharmaceuticals,420,19,0,3185933217.8333335,306279840.8333333,0,0.09613504737604824,0,0.023905523351021217,-0.10201748694010232,0.12592301029112313,-0.017314380660472622
Steel & Aluminum,4306,238,4,6061864736.666667,474704158.6666667,770877.3333333334,0.07830992265388285,1.2716834948006903e-4,-0.0629269554046015,-0.0074470621854989,-0.055479893219102586,-0.08666865966921934
