year_month,s2,s4,t,gap_s2_s4,gap_s4_t,gap_s2_t
2025-01,2.3356368925538495,2.2069681068423996,2.3141186773114235,0.1286687857114499,-0.10715057046902388,0.02151821524242603
2025-02,3.216947156267257,2.3113662572000977,2.514626437270185,0.9055808990671594,-0.2032601800700875,0.7023207189970719
2025-03,4.304051727723083,3.81619490592016,2.3832400568733045,0.4878568218029229,1.4329548490468555,1.9208116708497784
2025-04,15.527205072711435,7.070897199535633,5.661756238108103,8.456307873175803,1.4091409614275303,9.865448834603333
2025-05,11.93321789314643,8.84542065349063,8.021985297549337,3.087797239655801,0.8234353559412924,3.9112325955970935
2025-06,10.48912875045732,9.144188617995551,10.03020888610523,1.344940132461769,-0.8860202681096787,0.4589198643520902
2025-07,10.909779909972393,9.746554748187943,9.46905531885769,1.1632251617844496,0.27749942933025373,1.4407245911147033
2025-08,13.206262718606917,10.551991978865823,11.224319371319416,2.6542707397410936,-0.6723273924535924,1.9819433472875012
2025-09,12.491356111104226,10.652424864704445,10.733238425102073,1.8389312463997811,-0.08081356039762788,1.7581176860021532
2025-10,11.993027536699971,10.90880010340607,11.404415546436422,1.0842274332939006,-0.495615443030351,0.5886119902635496
2025-11,11.298774468906716,9.990744164926026,11.791760183601188,1.30803030398069,-1.8010160186751616,-0.4929857146944716
2025-12,10.692765079716922,9.415865758800534,9.88387544871136,1.2768993209163888,-0.4680096899108257,0.8088896310055631
2026-01,11.171900247883192,9.871644477178847,10.64570731480817,1.3002557707043447,-0.774062837629323,0.5261929330750217
2026-02,9.547640139201931,8.47697810737232,10.488441771873829,1.0706620318296114,-2.011463664501509,-0.9408016326718975
2026-03,7.94517920784102,6.848561353607493,7.344086096357194,1.0966178542335276,-0.4955247427497014,0.6010931114838263
