partner_group,product_group,n_flows,n_suspect,n_suspect_strict,val_total,val_suspect,val_suspect_strict,share_suspect_value,share_suspect_strict_value,mean_dln_value,mean_dln_qty,mean_dln_uv,mean_world_dln_uv
EU,Apparel & Textiles,1035,25,3,692032354.6666666,6245017.666666667,489612.1666666666,0.009024170076086578,7.074989534304355e-4,0.24962061938522287,0.24820118615211384,0.0014194332331090083,-0.05556633629025838
EU,Autos & Auto Parts,543,27,3,3185019568,222743934.66666666,244087,0.06993487164241707,7.663594988625829e-5,-0.2804216721262929,-0.34693738485556436,0.06651571272927184,-0.14355251349800166
EU,Chemicals & Plastics,2283,102,32,3069461934.6666665,401187142.3333333,250487588.6666667,0.130702758617823,0.081606351210173525,0.08438087663928483,0.09850499626958696,-0.01412411963030212,-0.07731328780118836
EU,Electronics & Machinery,6243,224,22,8763216624.333334,395210837.8333333,20361739.666666668,0.045098832400870745,0.0023235463117649104,0.20424260314883091,0.21049306703482035,-0.006250463885989408,-0.04844572455847722
EU,Energy & Minerals,30,0,0,37189313,0,0,0,0,0.13519770288017224,5.507065423200489e-4,0.13464699633785232,-0.05515913099739529
EU,Food & Agriculture,1449,46,14,2368206863,258383268.16666666,133374844.33333333,0.10910502465116227,0.056318916399210404,0.07640823750664902,0.11971120864850718,-0.04330297114185799,0.02746637986976429
EU,Other Manufactured,4527,175,24,6520782935.333333,274616438.6666667,13010485.333333334,0.0421140285438176,0.001995233618778365,0.10439012873942285,0.15819787393015125,-0.05380774519072833,0.017938752741849716
EU,Pharmaceuticals,151,8,0,1360439987.8333333,16728482.5,0,0.012296376649911732,0,0.16369981539116782,-0.18805641443470816,0.3517562298258759,0.5738749645918891
EU,Steel & Aluminum,1269,52,0,945285688.3333334,29322647,0,0.031019878288541317,0,0.12510813213240696,0.12055864180625037,0.0045494903261567516,-0.08077918409662496
Japan,Apparel & Textiles,81,5,1,43270391.333333336,4320829.666666667,113394.33333333333,0.0998564961749749,0.002620598747531549,0.10865788520193982,0.08930184721239949,0.019356037989540453,0.07137950186352354
Japan,Autos & Auto Parts,118,4,0,3592858139,99690522.33333334,0,0.027746857369960118,0,-0.1133113991673678,-0.09036617730301816,-0.022945221864350364,-0.023402390455948403
Japan,Chemicals & Plastics,408,22,4,809627264.1666666,23430831.166666668,14015567,0.028940269434705315,0.017311135160975523,0.08532477864631499,0.13163949456877422,-0.04631471592245924,-0.09028378835755856
Japan,Electronics & Machinery,961,59,1,3817893971.1666665,126449506,3048408.3333333335,0.03312022464609193,7.984528528962279e-4,0.11384828513680154,0.11820074474042866,-0.004352459603627034,-0.10507950504160933
Japan,Energy & Minerals,3,0,0,2398528,0,0,0,0,-1.0835999512074403,-0.33626145075397784,-0.7473385004534598,0.007596207722139069
Japan,Food & Agriculture,119,4,2,132042991.16666667,1351003,557761.6666666667,0.01023153889550066,0.004224091424607698,0.2583887123046186,0.22544894792053108,0.032939764384087473,-0.008171320859100838
Japan,Other Manufactured,601,30,3,1210135885.3333333,43305297.666666664,281918,0.0357854834250603,2.3296392034713142e-4,0.17299973384456552,0.1368318595324611,0.036167874312104394,-0.11183554312450195
Japan,Pharmaceuticals,11,0,0,116186791.83333334,0,0,0,0,0.2839328014257253,0.23327790273132054,0.050654898694404746,0.3988979594745608
Japan,Steel & Aluminum,195,6,0,220293899.5,3191023.666666667,0,0.014485302016575665,0,0.14644121808077995,0.09451978354167002,0.051921434539110134,-0.3584731550963769
