hs2,stat_num,cens_num,total_val,s2,s4,gap_pp,gap_usd
85,60569413824.56117,50056468280,627320521586,9.655257837162537,7.979408700586835,1.6758491365757022,10512945544.561172
87,59065068044.07343,52658095212,408363018150,14.463863136200459,12.894922623149391,1.5689405130510679,6406972832.073433
84,56171176302.48759,49777239922,838679520195,6.697573381716454,5.935192015947448,0.7623813657690066,6393936380.487587
30,6583564599.390378,878344644,253314988366,2.5989637020128358,0.3467401000097678,2.252223602003068,5705219955.390378
73,21046696207.05744,15476834475,50377650944,41.77784357284351,30.72162791433867,11.05621565850484,5569861732.057442
90,17330244836.20186,11873143375,152555914428,11.359929833714187,7.782814202594306,3.577115631119881,5457101461.2018585
27,3881920633.2061877,300252211,260641040981,1.4893742821911031,0.11519759507939026,1.374176687111713,3581668422.2061877
94,13905293924.31835,11243393133,75097653746,18.51628277409266,14.971696946788922,3.5445858273037363,2661900791.31835
39,12879814967.745451,10613600746,84885355709,15.17318842592759,12.503453225059276,2.6697352008683133,2266214221.745451
76,11458887640.772112,9340398153,32017419131,35.78954191744129,29.17286404248746,6.6166778749538295,2118489487.772112
95,9241248766.542192,7147027859,41275762240,22.38904447798804,17.31531405148437,5.073730426503669,2094220907.5421925
72,7896484820.766139,5949061300,30955448875,25.509191782850987,19.218139346073364,6.291052436777623,1947423520.766139
71,3821337876.8186603,2225488438,167883870177,2.276179285591774,1.325611826588026,0.9505674590037483,1595849438.8186603
64,9373433841.701834,7939008746,33175514733,28.254072068331737,23.930325753478037,4.3237463148537,1434425095.7018337
61,15426151455.933823,14076249439,54746710550,28.177312026528362,25.7115894226087,2.4657226039196622,1349902016.9338226
63,5333457916.537203,4125265419,18369671386,29.034040971478504,22.456936394322064,6.57710457715644,1208192497.5372028
15,2230254958.0737424,1158235548,18687403455,11.934536349280862,6.197947996301769,5.736588352979092,1072019410.0737424
62,11345389856.396719,10329853854,42712653255,26.562128530539397,24.184528627452508,2.377599903086889,1015536002.396719
29,4352855500.655598,3342254057,99139298955,4.390645835241773,3.3712706184427144,1.0193752167990584,1010601443.6555977
88,2561198973.763565,1733495339,42456081734,6.032584424088496,4.083031848913578,1.949552575174918,827703634.7635651
02,2263251150.665907,1490382038,23277915134,9.722739934557865,6.40255808744285,3.3201818471150144,772869112.6659069
40,5756840863.930881,5154390614,42651216013,13.497483546954928,12.084979270998868,1.41250427595606,602450249.9308805
83,4129334548.064769,3566227188,17766822828,23.241828817908043,20.07239686309996,3.1694319548080827,563107360.0647688
