hs10,cty_code,partner_group,product_group,hs2,event_ym,event_drate,V_pre,V_post,Q_pre,Q_post,uv_pre,uv_post,dln_value,dln_qty,dln_uv,world_dln_uv,dln_uv_excess,n_ctrl,bucket,suspect,suspect_strict,lumpy,classify_ok
8703230140,2010,Mexico,Autos & Auto Parts,87,783,0.1168281752238971,1810226073.6666667,1782043832.3333333,88594,93789.33333333333,20432.829239752882,19000.495781325524,-0.01569081404123196,0.05698699718961997,-0.07267781123085015,NA,NA,NA,B6_mixed,FALSE,FALSE,FALSE,TRUE
8703220110,2010,Mexico,Autos & Auto Parts,87,783,0.12902764746562684,1109734601.6666667,1212446933,50065.666666666664,76412,22165.581236642545,15867.23201853112,0.08851968713551983,0.4228042748077936,-0.334284587672272,NA,NA,NA,B6_mixed,FALSE,FALSE,FALSE,TRUE
8704310140,2010,Mexico,Autos & Auto Parts,87,783,0.13114010371847695,1481347887.6666667,1204511240.6666667,46957.666666666664,52594.333333333336,31546.45434540331,22901.920498406038,-0.2068785329629037,0.11336189602686808,-0.32024042898977534,NA,NA,NA,B6_mixed,FALSE,FALSE,FALSE,TRUE
8703230140,5880,Japan,Autos & Auto Parts,87,783,0.2217833333333333,1167770486.6666667,1004535400.6666666,63404,55835.333333333336,18417.93083506824,17991.03436294819,-0.15057121722642108,-0.1271200680846647,-0.02345114914175639,NA,NA,NA,B1_real_contraction,FALSE,FALSE,FALSE,TRUE
8703230140,1220,Canada,Autos & Auto Parts,87,783,0.1330638356336423,907600332.3333334,911574355,33880.333333333336,39122.333333333336,26788.412126995994,23300.613162132457,0.0043690460469427705,0.1438587805413416,-0.13948973449439706,NA,NA,NA,B6_mixed,FALSE,FALSE,FALSE,TRUE
8507600020,5700,China,Electronics & Machinery,85,783,0.9580107526881719,1150628576.3333333,870372560.3333334,17106193.333333332,15360333,67.26385899609849,56.66365177977153,-0.2791423098959491,-0.10765217399994143,-0.1714901358960077,-0.14184919565363163,-0.029640940242376068,1,B1_real_contraction,FALSE,FALSE,FALSE,TRUE
8703800060,2010,Mexico,Autos & Auto Parts,87,783,0.1263166842892986,767241375,855387108.6666666,17370,27956,44170.487910189986,30597.621571994085,0.10875267315700654,0.47588726536186954,-0.367134592204863,NA,NA,NA,B4_real_expansion,FALSE,FALSE,FALSE,TRUE
8703230140,5800,S. Korea,Autos & Auto Parts,87,783,0.22178333333333333,1090170800.6666667,756723684.6666666,53522.666666666664,39379.333333333336,20368.394711274977,19216.264487294517,-0.3650914876533129,-0.30686409618861,-0.058227391464702904,NA,NA,NA,B1_real_contraction,FALSE,FALSE,FALSE,TRUE
8703400020,5880,Japan,Autos & Auto Parts,87,783,0.2217833333333333,877828152,717558663,53327,36265.333333333336,16461.232621373787,19786.35233832126,-0.20159614325634223,-0.38558048914236664,0.18398434588602264,NA,NA,NA,B1_real_contraction,FALSE,FALSE,FALSE,TRUE
8708295160,2010,Mexico,Autos & Auto Parts,87,782,0.04813634799489216,546511164.3333334,607080459,55866625,62623720.333333336,9.782426705270515,9.694097632153346,0.1051065979726431,0.1141769718409833,-0.00907037386833931,NA,NA,NA,B4_real_expansion,FALSE,FALSE,FALSE,TRUE
7115900530,4419,ROW,Other Manufactured,71,787,0.23387096774193547,163899968,554817940.3333334,1538711,4256470.333333333,106.51770735375258,130.3469534342657,1.2193837339868416,1.0174952036375569,0.20188853034928655,0.1716459721517909,0.03024255819749566,1,B4_real_expansion,FALSE,FALSE,FALSE,TRUE
8703220110,5800,S. Korea,Autos & Auto Parts,87,783,0.22178333333333333,606656190,552783147.3333334,35356.333333333336,34480.666666666664,17158.345699497495,16031.6838614876,-0.09299643604471086,-0.025078756579729244,-0.06791767946497806,NA,NA,NA,B6_mixed,FALSE,FALSE,FALSE,TRUE
8703400020,5800,S. Korea,Autos & Auto Parts,87,783,0.22178333333333333,564154658.6666666,551748543.3333334,20259.666666666668,21578.666666666668,27846.196482337647,25569.167542016807,-0.022236026352622673,0.06307312641255614,-0.08530915276517881,NA,NA,NA,B6_mixed,FALSE,FALSE,FALSE,TRUE
2709001000,2010,Mexico,Energy & Minerals,27,782,0.07162730606996226,566772801.3333334,529840597,8681509.333333334,8900360,65.2850535052891,59.530243383413705,-0.06738231937765704,0.024896325473733327,-0.0922786448513877,-0.07487202464829679,-0.017406620203090917,12,B6_mixed,FALSE,FALSE,FALSE,TRUE
8703240150,5800,S. Korea,Autos & Auto Parts,87,783,0.22178333333333333,622602878.6666666,509863504.3333333,17587.333333333332,15003.666666666666,35400.64129487131,33982.59343271645,-0.19976583028350348,-0.15888433029323856,-0.04088149999026314,NA,NA,NA,B1_real_contraction,FALSE,FALSE,FALSE,TRUE
2711210000,1220,Canada,Energy & Minerals,27,782,0.0903225806451613,893630264.6666666,506013486.6666667,8149144667.666667,7141915489.333333,0.10965939385176462,0.07085122855659845,-0.5687287930060556,-0.1319319568037436,-0.4367968362023098,2.1614471292362443,-2.598243965438554,3,B1_real_contraction,FALSE,FALSE,FALSE,TRUE
8703230140,4280,EU,Autos & Auto Parts,87,783,0.2217833333333333,808659454,487703587.3333333,24763.333333333332,14932.666666666666,32655.5170547853,32660.180409839726,-0.5056700632837909,-0.5058128575964407,1.4279431264974107e-4,NA,NA,NA,B1_real_contraction,FALSE,FALSE,FALSE,TRUE
9503000073,5700,China,Other Manufactured,95,783,0.9580107526881719,574754397,439381027.6666667,356620821.6666667,251348647.33333334,1.6116680857665195,1.7480938621641704,-0.2685758326966763,-0.3498320846249179,0.08125625192824293,NA,NA,NA,B1_real_contraction,FALSE,FALSE,FALSE,TRUE
7108121013,1220,Canada,Other Manufactured,71,782,0.0668774936101308,1048879526.6666666,411414529.6666667,11775904.333333334,3865306.6666666665,89.06997687622744,106.43774612104949,-0.935876461706183,-1.1140144146489313,0.1781379529427527,0.22518396295668097,-0.047046010013928274,16,B1_real_contraction,FALSE,FALSE,FALSE,TRUE
8537109170,2010,Mexico,Electronics & Machinery,85,782,0.03153371420346128,362883548.3333333,408521346.3333333,10973106.333333334,12887841,33.07026627737955,31.698198816491708,0.11846218903378514,0.16083690832681086,-0.042374719293026164,NA,NA,NA,B4_real_expansion,FALSE,FALSE,FALSE,TRUE
9504500000,5520,ROW,Other Manufactured,95,783,0.08666666666666667,66377081,402233942.3333333,315716.3333333333,1729351,210.24278439823092,232.59242474970858,1.8016820342205158,1.700657341492203,0.10102469272830916,-0.33993257852405545,0.4409572712523646,2,B4_real_expansion,FALSE,FALSE,FALSE,TRUE
8411124000,1220,Canada,Electronics & Machinery,84,782,0.08097335479404714,271711038.3333333,391501781,271.3333333333333,344,1001392.0331695331,1138086.5726744186,0.36525092206637666,0.23729358003896728,0.1279573420274076,NA,NA,NA,B4_real_expansion,FALSE,FALSE,FALSE,TRUE
8517620090,5700,China,Electronics & Machinery,85,782,0.10103686635944703,579450113,388041132.3333333,3066848.6666666665,4791596.333333333,188.9399106313908,80.98368588227626,-0.40096822762002304,0.44621307819474865,-0.8471813058147699,-0.6869103942652233,-0.16027091154954665,70,B6_mixed,FALSE,FALSE,FALSE,TRUE
8708998180,2010,Mexico,Autos & Auto Parts,87,782,0.03767411858116292,334489542.6666667,379198671,34055717.666666664,40903772.666666664,9.8218321499083,9.270506026184155,0.12545464912925652,0.1832243618091134,-0.05776971267985509,NA,NA,NA,B4_real_expansion,FALSE,FALSE,FALSE,TRUE
