year_month,partner_group,s1_num,s2_num,imports,con_val_mo,s1,s2,gap_s1_s2
2025-01,China,49779723959.934105,4769942805.263546,415614669877.5851,41156127256,11.977374132293308,11.589872816733877,0.38750131555943135
2025-01,Canada,308222621.0183247,24422746.706924886,386229671376.44995,38377304228,0.07980293692089403,0.06363851551903978,0.016164421401854256
2025-01,Mexico,1099592710.850761,85290129.28009298,482429103274.5141,42282240045,0.2279283532828378,0.2017162032790143,0.026212150003823514
2025-01,EU,6909511985.142631,558492317.2377195,520679122477.03186,55505040121,1.3270192114237156,1.006201087361105,0.3208181240626107
2025-01,Japan,2200915304.449048,190447992.04061604,142250599257.66873,13029448424,1.5472098647980892,1.4616734787469161,0.08553638605117309
2025-01,S. Korea,389178548.29068077,28488299.59572138,123200472960.45056,10906891719,0.31589046611502347,0.26119540130846125,0.05469506480656222
2025-01,UK,619128588.873593,52641494.02461992,58751804966.05177,6234959068,1.0538035201324294,0.8442957435726333,0.20950777655979613
2025-01,ROW,19870067130.04817,1791271272.7318003,867760923054.7455,113662235366,2.2898089326378437,1.575959919285229,0.7138490133526147
2025-02,China,86705503955.43736,6887000060.246076,415011166450.99255,34086521410,20.89233036713391,20.204467265543936,0.6878631015899721
2025-02,Canada,300032887.0728694,20562126.26344572,386601625282.091,34970965488,0.07760776661348613,0.058797708260303665,0.018810058353182467
2025-02,Mexico,1085163250.929952,86558367.29698566,483165458466.4295,41562849300,0.22459454249363509,0.20825898309379298,0.016335559399842103
2025-02,EU,6895515426.78155,563927563.6659192,520741728733.4465,53693960699,1.3241718583899347,1.050262555275461,0.2739093031144737
2025-02,Japan,2195036091.1181765,161586742.7545138,142163774897.84048,11297241091,1.5440192782553355,1.4303203893138354,0.11369888894150004
2025-02,S. Korea,373037093.5917487,34216874.5925083,123982029961.2385,9344429296,0.3008799692248742,0.3661740434716036,-0.0652940742467294
2025-02,UK,595340035.1231135,52256707.00185526,57179452645.65526,5569317517,1.0411782687261348,0.9382964221800044,0.10288184654613042
2025-02,ROW,19624377301.539963,1598832226.729118,858494748348.5332,101830797276,2.2859053406314866,1.5700871146041189,0.7158182260273678
2025-03,China,131183900654.05432,8829014259.495396,415181219715.21844,27949888654,31.59678097772248,31.58872784357889,0.008053134143590768
2025-03,Canada,9081416270.698055,855713156.2814202,386535894023.731,35705166370,2.349436730483951,2.3966087916072643,-0.04717206112331329
2025-03,Mexico,15009251982.677086,1329875138.929955,483229768303.99744,47408494643,3.1060280154832762,2.80514103842425,0.30088697705902634
2025-03,EU,9106293864.052607,921579974.5264919,523642832802.94446,81919121241,1.7390276909374711,1.1249876226275326,0.6140400683099385
