year_month,t1_h2avg,t4,s1,gap
2025-01,2.643515964173149,2.3141186773114235,2.7086622014495707,0.32939728686172565
2025-02,3.8370674091491663,2.514626437270185,3.9424373068143637,1.3224409718789811
2025-03,6.253141096523341,2.3832400568733045,6.4069620244687435,3.869901039650036
2025-04,19.438724586925517,5.661756238108103,20.019876466074752,13.776968348817414
2025-05,16.685473803742155,8.021985297549337,17.147070695240988,8.663488506192818
2025-06,13.579350960627998,10.03020888610523,13.812191948054627,3.549142074522768
2025-07,13.465258610857001,9.46905531885769,13.874998545155487,3.9962032919993113
2025-08,15.587731462638368,11.224319371319416,16.066070018357802,4.363412091318953
2025-09,16.232686008131544,10.733238425102073,16.567768517239454,5.499447583029472
2025-10,15.653438709365412,11.404415546436422,15.97533466074591,4.2490231629289905
2025-11,14.699043158004795,11.791760183601188,14.974200749193356,2.907282974403607
2025-12,14.036216617440742,9.88387544871136,14.279425590272712,4.152341168729382
2026-01,14.188342723196959,10.64570731480817,14.507673170496199,3.5426354083887883
2026-02,11.849284427873208,10.488441771873829,12.515205610781743,1.3608426559993791
2026-03,9.844437032589665,7.344086096357194,10.387289271546532,2.500350936232471
