ym,n_total,val_total,nbothzero,nbothpos,ntrackermiss,nimpfriction,valbothzero,valbothpos,valtrackermiss,valimpfriction,pct_n_bothzero,pct_n_bothpos,pct_n_trackermiss,pct_n_impfriction,pct_val_bothzero,pct_val_bothpos,pct_val_trackermiss,pct_val_impfriction
2025m1,161332,321154246227,63046,83008,4756,10522,189093992712,103610764377,19940379480,8509109658,39.07842213572013,51.45166488979248,2.947958247588823,6.52195472689857,58.87949324460856,32.26199422683806,6.208972702140651,2.64953982641274
2025m2,160345,292356082077,61576,83586,4413,10770,164330388161,102957310261,16204283699,8864099956,38.4021952664567,52.12884717328261,2.752190589042377,6.71676697121831,56.20898562928446,35.21640785769026,5.542653186442743,3.031953326582546
2025m3,167369,340401861337,53750,93973,5459,14187,157360144215,152750573479,13544695156,16746448487,32.1146687857369,56.14719571724752,3.261655384210935,8.476480112804641,46.22775668644552,44.87360112516423,3.979030873333171,4.919611315057091
2025m4,166675,272746782562,12291,121105,10178,23101,35191289621,169707317760,51253911100,16594264081,7.374231288435579,72.65936703164842,6.106494675266236,13.85990700464977,12.90254986344355,62.22156542632089,18.79175644843734,6.084128261798226
2025m5,164440,273404028891,10526,131547,11798,10569,43020322319,167753167789,49520579255,13109959528,6.401118949160788,79.99695937728046,7.174653369009973,6.427268304548772,15.73507255672199,61.35724058985225,18.11260040895108,4.795086444474688
2025m6,164095,258320199963,10466,132837,11859,8933,34500596947,163909006445,48020691366,11889905205,6.378012736524575,80.95127822298059,7.226911240439988,5.443797800054846,13.35574877688296,63.45187347659115,18.58959979625215,4.60277795027374
2025m7,169672,288153517408,11201,136794,11652,10025,44725284505,170597272779,51742689965,21088270159,6.601560658211136,80.62261304163327,6.867367626950823,5.908458673204771,15.52133907901354,59.20360588118356,17.95664006826504,7.318414971537851
2025m8,164621,258435382690,10478,131823,9707,12613,34230933357,163978544375,43895758644,16330146314,6.364923065708507,80.07666093633254,5.896574556101591,7.661841441857358,13.24545153248652,63.45050072795046,16.98519691347919,6.318850826083841
2025m9,168592,277310515889,10795,135731,9636,12430,36986977779,156838111701,59636128840,23849297569,6.40303217234507,80.50856505646769,5.715573692701907,7.372829078485338,13.33774799719636,56.55685692199934,21.50518116805594,8.600213912748348
2025m10,171828,275272504165,10925,138886,9480,12537,39033523186,164022310720,53715157514,18501512745,6.358102288334846,80.82850292152618,5.517145052028773,7.296249738110203,14.17995716804431,59.58543197677456,19.51344820178728,6.721162653393846
2025m11,168218,257808741289,10573,135538,9180,12927,40566845764,153226015319,48565097422,15450782784,6.285296460545245,80.57282811589724,5.457204341984805,7.684671081572721,15.73524837101048,59.43398759595811,18.83764575986941,5.993118273161998
2025m12,173219,278183217348,11613,138508,9974,13124,47259098560,149072094522,55147236322,26704787944,6.704229905495356,79.96120517957037,5.758028853647694,7.576536061286579,16.98847939517505,53.5877383054042,19.8240702108971,9.599712088523658
2026m1,168044,259411163370,11050,133915,9588,13491,40124611931,144626473022,50562339706,24097738711,6.575658756040085,79.69043821856181,5.70564852062555,8.02825450477256,15.46757333406272,55.75183085537387,19.49119654264168,9.28939926792172
2026m2,168748,250562806403,8307,140072,8451,11918,27956861553,146992739201,52755277236,22857928413,4.922725010074194,83.00661341171451,5.008059354777538,7.062602223433759,11.15762628713328,58.66502746803528,21.05471198752041,9.122634257311033
2026m3,184258,299166410274,9146,154113,9886,11113,35606473118,150858076631,92717222789,19984637736,4.963692214177946,83.63978768900128,5.365302999055672,6.03121709776509,11.90189536498727,50.42614125457212,30.99185590524094,6.680107475199675
