year_month,partner_group,between,within,total
2025-01,China,0.12408290301794027,0.0516987642870551,0.17578166730499536
2025-01,Canada,6.725717452228529e-4,0.0020074088683032765,0.0026799806135261294
2025-01,Mexico,0.006298171041764276,0.003835260534113266,0.010133431575877542
2025-01,EU,0.001059794669127879,0.055592670096083006,0.05665246476521089
2025-01,Japan,0.0103730775384402,0.003765155283731458,0.014138232822171658
2025-01,S. Korea,0.002062372946210941,0.002052996106864189,0.00411536905307513
2025-01,UK,1.801922282604303e-4,0.004087319184669824,0.004267511412930255
2025-01,ROW,-0.12441326152146925,0.22966991286940347,0.10525665134793422
2025-02,China,0.458862800246569,0.08787994368145387,0.5467427439280229
2025-02,Canada,6.680882234969045e-4,0.0023421442429150657,0.00301023246641197
2025-02,Mexico,0.004236018504278041,0.002482211505062603,0.006718230009340643
2025-02,EU,-0.011092491363757584,0.04902643086275934,0.037933939499001756
2025-02,Japan,0.013305247965423579,0.004902173595646918,0.018207421561070497
2025-02,S. Korea,0.0031818445644564743,-0.002398413839541263,7.834307249152111e-4
2025-02,UK,8.988415172281015e-5,0.001964547672366283,0.002054431824089093
2025-02,ROW,-0.11747898933969837,0.22751870987395173,0.11003972053425336
2025-03,China,1.7812855855019827,8.882596462416722e-4,1.7821738451482243
2025-03,Canada,0.057058962744493076,-0.005515057451395426,0.05154390529309765
2025-03,Mexico,0.0647802765342094,0.045202581191380264,0.10998285772558966
2025-03,EU,-0.09448899162595546,0.12751301091227463,0.033024019286319165
2025-03,Japan,0.01233230287415203,0.0030797150824894443,0.015412017956641474
2025-03,S. Korea,0.005337230499993112,0.0045241134152862635,0.009861343915279375
2025-03,UK,-0.001320986416100124,0.005532051803681621,0.004211065387581496
2025-03,ROW,-0.10984587976988826,0.20654712180281645,0.0967012420329282
2025-04,China,4.921006579414038,-0.9455824092911552,3.9754241701228827
2025-04,Canada,0.07647895968284091,0.04356923509810016,0.12004819478094106
2025-04,Mexico,0.044506654019327484,0.14157122740722405,0.18607788142655154
2025-04,EU,-0.15339141835006498,0.30234303909537263,0.14895162074530766
2025-04,Japan,-0.03409090999773602,0.04681061332395126,0.012719703326215241
2025-04,S. Korea,0.06993811332907028,0.08249078366915366,0.15242889699822393
2025-04,UK,0.020422942990550662,0.02465316486207257,0.04507610785262323
2025-04,ROW,-0.466756094567062,0.31870091267763584,-0.14805518188942618
2025-05,China,4.913148685133169,-0.31036387035700136,4.602784814776168
2025-05,Canada,0.07380545667961756,0.05090653962195737,0.12471199630157492
2025-05,Mexico,-0.038400137913642156,0.13733753621970782,0.09893739830606565
2025-05,EU,-0.2974206281730514,0.4190236190130043,0.12160299083995285
2025-05,Japan,0.0594124525040381,0.04331219740600639,0.10272464991004449
2025-05,S. Korea,-3.197826800797372e-5,0.03769973564098516,0.03766775737297719
2025-05,UK,0.022716333358535214,0.06666526146857515,0.08938159482711036
