product_group,between,within,total
Electronics & Machinery,-0.3092994487760118,1.2629221703999225,0.9536227216239107
Other Manufactured,-0.3964644951553732,1.117235379527981,0.7207708843726077
Autos & Auto Parts,0.4902616293702633,0.06277846586274516,0.5530400952330085
Steel & Aluminum,0.26592502444284416,0.06900371295451299,0.3349287373973572
Apparel & Textiles,0.1967942449910946,0.10714610636173483,0.30394035135282943
Chemicals & Plastics,0.030334336264920658,0.16720865554462663,0.1975429918095473
Food & Agriculture,0.012756958477624656,0.013963567825752584,0.026720526303377238
Energy & Minerals,0.017760388505878775,-0.014099501376179076,0.0036608871296996987
Pharmaceuticals,0.03131411234919465,-0.050721716698227476,-0.019407604349032825
