partner_group,s1,s2,s3,s4,gap_diversion,gap_others,gap_residual
China,39.779736304686594,40.59415612944258,40.48545041005024,32.03030096537661,-0.8144198247559867,0.10870571939234566,8.45514944467363
Canada,4.963778780165125,3.9763832486433697,3.959861056490953,2.633097337975598,0.9873955315217551,0.016522192152416754,1.3267637185153551
Mexico,5.62601866098625,4.5106325873341175,4.489118808080145,3.6824134151536256,1.1153860736521317,0.021513779253972267,0.8067053929265201
EU,8.575172299827017,7.53818815053205,7.364622911502331,6.578751961777432,1.0369841492949672,0.17356523902971882,0.7858709497248982
Japan,12.563366984147192,11.846892021895453,11.503416820652507,11.280905076369969,0.7164749622517386,0.34347520124294534,0.22251174428253853
S. Korea,12.13722652623917,10.469938704777626,9.23283861217237,9.18342453883526,1.6672878214615448,1.2371000926052556,0.049414073337110516
UK,7.789884841039448,6.812114671233337,6.08963918861994,5.256471314425328,0.9777701698061111,0.7224754826133962,0.8331678741946125
ROW,10.597414693032935,7.9870486309644795,7.5232616822591565,6.5656874193395085,2.6103660620684557,0.4637869487053231,0.9575742629196476
