year_month,partner_group,diversion_pp,others_pp,residual_pp
2025-01,China,0.17578166730499536,0.0028495965241685435,0.06803654150392231
2025-01,Canada,0.0026799806135261294,2.7354905507425423e-4,-0.0061022312266448605
2025-01,Mexico,0.010133431575877542,7.391229022258916e-4,-0.010742899311023067
2025-01,EU,0.05665246476521089,0.003427060585882278,-0.001331215889199685
2025-01,Japan,0.014138232822171658,0.0031276403860482755,-0.0034721253095332926
2025-01,S. Korea,0.00411536905307513,0.0074164983946590195,-0.006847348331349749
2025-01,UK,0.004267511412930255,5.185107545679849e-4,7.901071678148191e-4
2025-01,ROW,0.10525665134793422,0.028311743592382976,0.04167423491245427
2025-02,China,0.5467427439280229,0.004432348002407485,0.8440334108158944
2025-02,Canada,0.00301023246641197,2.7916215312488176e-4,-0.006192599155609041
2025-02,Mexico,0.006718230009340643,7.504002423388175e-4,-0.00957555534761861
2025-02,EU,0.037933939499001756,0.003888280491635497,0.00338209319613372
2025-02,Japan,0.018207421561070497,0.003327596783541391,-0.00405195156023745
2025-02,S. Korea,7.834307249152111e-4,0.006560562615619228,-0.006449388396085565
2025-02,UK,0.002054431824089093,5.487179225548774e-4,-0.0016038490408232797
2025-02,ROW,0.11003972053425336,0.02689238358326333,0.03935928676102057
2025-03,China,1.7821738451482243,0.003967607473566154,0.42937707099017003
2025-03,Canada,0.05154390529309765,7.208802617873155e-4,0.056772937930841795
2025-03,Mexico,0.10998285772558966,0.0012364988749708967,-0.140981456849541
2025-03,EU,0.033024019286319165,0.004884049749491124,0.011620977075514965
2025-03,Japan,0.015412017956641474,0.003429931248619151,-0.004089874289331079
2025-03,S. Korea,0.009861343915279375,0.008741877347483044,0.010651523763712476
2025-03,UK,0.004211065387581496,5.673795660223491e-4,-0.0036617770563227947
2025-03,ROW,0.0967012420329282,0.03041450723244078,0.07420468848349786
2025-04,China,3.9754241701228827,0.03244743518366307,6.012209490565999
2025-04,Canada,0.12004819478094106,0.0012099603778403978,0.1524579961324294
2025-04,Mexico,0.18607788142655154,0.0010894635026877262,0.07801076437902955
2025-04,EU,0.14895162074530766,0.08776090109049157,0.5153415787485786
2025-04,Japan,0.012719703326215241,0.028973626403748308,0.12836911792063352
2025-04,S. Korea,0.15242889699822393,0.06181727261423933,0.07422800127491196
2025-04,UK,0.04507610785262323,0.013383351755722105,0.032531248206542004
2025-04,ROW,-0.14805518188942618,0.38104651131623185,0.8554311537030547
2025-05,China,4.602784814776168,0.022581026638053284,1.754123458116773
2025-05,Canada,0.12471199630157492,0.002032200175828609,0.1986358361057495
2025-05,Mexico,0.09893739830606565,0.0011672148607912807,0.07555191354802222
2025-05,EU,0.12160299083995285,0.035766568106338326,0.18991423994606024
2025-05,Japan,0.10272464991004449,0.013066366587029038,0.027036770782407783
2025-05,S. Korea,0.03766775737297719,0.06517681399548438,-0.023657547203654577
2025-05,UK,0.08938159482711036,0.004248278584994025,0.015355606142652448
2025-05,ROW,0.0360415997606634,0.216890369687474,0.48990812358179714
2025-06,China,2.8684551209506366,0.00941615392859345,0.1965221059953294
2025-06,Canada,0.2065398591628029,0.0030280791198803534,0.22325420091271314
2025-06,Mexico,0.1178533337278263,9.780574855603416e-4,0.20460337072017282
2025-06,EU,0.1701525502096301,0.015539036081970692,0.18365197893645346
2025-06,Japan,0.083763223563907,0.0064343195540407785,-0.0018680564517699007
2025-06,S. Korea,0.07833901410177585,0.060041350643843416,-0.014748972885573681
