year_month,s1,s2,s3,s4,t,gap_diversion,gap_others,gap_residual,gap_timing,gap_timing_deminimis,gap_timing_adcvd,gap_timing_residual,tracker_vintage
2025-01,2.7086622014495707,2.3356368925538495,2.2889731703588403,2.2069681068423996,2.3141186773114235,0.37302530889572116,0.04666372219500925,0.08200506351644066,-0.10715057046902388,-0,-0.052535097844884374,-0.0546154726241395,2026-06-25-14
2025-02,3.9424373068143637,3.216947156267257,3.170267704472772,2.3113662572000977,2.514626437270185,0.7254901505471065,0.04667945179448507,0.8589014472726744,-0.2032601800700875,-0,-0.0578274920808525,-0.145432687989235,2026-06-25-14
2025-03,6.4069620244687435,4.304051727723083,4.250088995968702,3.8161949059201596,2.3832400568733045,2.1029102967456605,0.05396273175438093,0.4338940900485424,1.432954849046855,-0,-0.0486262974842637,1.4815811465311188,2026-06-25-14
2025-04,20.019876466074752,15.527205072711435,14.91947655046681,7.070897199535633,5.661756238108103,4.492671393363317,0.607728522244626,7.8485793509311765,1.4091409614275303,-0,-0.06035318606876241,1.4694941474962928,2026-06-25-14
2025-05,17.147070695240988,11.93321789314643,11.572289054510437,8.84542065349063,8.021985297549337,5.213852802094557,0.3609288386359939,2.726868401019807,0.8234353559412924,-0,-0.06029434014621409,0.8837296960875064,2026-06-25-14
2025-06,13.812191948054627,10.489128750457319,10.216705647565473,9.144188617995553,10.03020888610523,3.3230631975973086,0.272423102891846,1.0725170295699193,-0.8860202681096769,-0,-0.0627661278957087,-0.8232541402139683,2026-06-25-14
2025-07,13.874998545155487,10.909779909972391,10.58737996617332,9.746554748187945,9.46905531885769,2.9652186351830956,0.32239994379907166,0.8408252179853744,0.2774994293302555,-0,-0.057031741936587776,0.3345311712668433,2026-06-25-14
2025-08,16.066070018357802,13.206262718606917,12.749604051788385,10.551991978865825,11.224319371319416,2.8598072997508854,0.45665866681853196,2.19761207292256,-0.6723273924535906,-0,-0.06340346286402566,-0.608923929589565,2026-06-25-14
2025-09,16.567768517239454,12.491356111104226,12.062572296543896,10.652424864704443,10.733238425102073,4.076412406135228,0.42878381456032955,1.4101474318394533,-0.08081356039762966,-0.31233712709628625,-0.060278049541807356,0.29180161624046397,2026-06-25-14
2025-10,15.97533466074591,11.993027536699971,11.665932676037952,10.90880010340607,11.404415546436422,3.9823071240459385,0.32709486066201876,0.7571325726318818,-0.495615443030351,-0.31409689384980755,-0.06061766753258845,-0.12090088164795498,2026-06-25-14
2025-11,14.974200749193356,11.298774468906716,10.93318056522976,9.990744164926026,11.791760183601188,3.67542628028664,0.365593903676956,0.942436400303734,-1.8010160186751616,-0.33107954373631254,-0.06389515497292833,-1.4060413199659207,2026-06-25-14
2025-12,14.279425590272712,10.692765079716922,10.355050874303762,9.415865758800534,9.88387544871136,3.58666051055579,0.33771420541316033,0.9391851155032285,-0.4680096899108257,-0.3060068650286013,-0.05905637008898039,-0.102946454793244,2026-06-25-14
2026-01,14.507673170496199,11.171900247883192,10.829154001556706,9.871644477178847,10.64570731480817,3.335772922613007,0.3427462463264863,0.9575095243778584,-0.774062837629323,-0.33137543939340036,-0.06395225997752052,-0.37873513825840216,2026-06-25-14
2026-02,12.515205610781743,9.547640139201933,9.309511053111216,8.47697810737232,10.488441771873829,2.9675654715798103,0.23812908609071748,0.8325329457388957,-2.011463664501509,-0.340573513117163,-0.06572739938782585,-1.6051627519965201,2026-06-25-14
2026-03,10.387289271546532,7.94517920784102,7.7965147694098444,6.848561353607493,7.344086096357194,2.4421100637055115,0.14866443843117594,0.9479534158023517,-0.4955247427497014,-0.2862526839327314,-0.055244003887675086,-0.1540280549292949,2026-06-25-14
